id,eventname,location,organization,date,event_details
17181,Kesselfleischessen KLJB,Hochstätt,,20.06.2023, 
17012,Kesselfleischessen,Fischbachau,TV Fischbachau,19.06.2023, 
17011,Festsonntag,Fischbachau,TV Fischbachau,18.06.2023, 
16940,Festsonntag 100 J. d`Hartseer,Eggstätt,GTEV d`Hartseer & FFW Eggstätt,18.06.2023, ab 08:00 Uhr Begrüßung der Vereine Blaskapelle Eggstätt Blaskapelle Prien mit Barbetrieb & der Duanix Musi
17131,Flohmarkt der FFW Halfing,Feuerwehrhaus Halfing,,18.06.2023, 
17130,Flohmarkt der FFW Halfing,Feuerwehrhaus Halfing,,18.06.2023, 
16939,Festabend – FestwochenEggstätt,Eggstätt,GTEV d`Hartseer & FFW Eggstätt,17.06.2023," Festabend des GTEV d`Hartseer Eggstätt zum 100-Jährigen Bestehen ab 20.00 Uhr im Festzelt – Heimat, Tracht, Tradition & Gaudi mehrere Musikgruppen & Auftritte mit Barbetrieb"
17129,Weinfest der FFW Halfing,Feuerwehrhaus Halfing,,17.06.2023, 
17109,2000er,Eiskeller Aschau,,17.06.2023," Eiskeller Aschau presents:   Studio 2000 x Die 2000er im Eiskeller ©️  Kannst du nicht mal was von David Guetta machen? Können wir! Diesen Samstag gibt es alles, aber wirklich alles das Spaß macht! Egal ob Usher, LMFA0, Black Eyed Peas oder David. Hauptsache 2000 🖤  17.06.2023 22:00 Uhr  Reservierungen via direct message oder E-Mail: reservierung@eiskeller.club"
17098,Johannifeuer,Arget,Burschenschaft Arget,17.06.2023, 
17132,Stadlfest des GTEV Söllhuben,Kohlstatt / Söllhuben,GTEV d'Hochlandler Söllhuben,17.06.2023, Stadlfest von de Hochlandler Söllhuben in Kohlstatt ab 19 Uhr mit da Näbelochmusi Auftritte der Kinder-  und Jugendgruppe und mit Holzknecht Bar
16651,Bierfest,Kapsner-Halle Schechen,Alte Ritter Schechen-Hochstätt,17.06.2023, Die Hochstätter Schützen veranstalten dieses Jahr ein Bierfest in der Kapsner-Halle im Gewerbegebiet Schechen direkt an der B15.  Für Unterhaltung sorgt die Band Vieraloa – BOARISCH – ROCKIG – LIVE und in der Bar DJ Georg Melon.  Los geht\'s ab 19 Uhr. Auf euer Kommen freuen sich die Hochstätter Schützen.
17087,Antworter Weinfest,Antwort bei Bad Endorf,,17.06.2023, Mit Barbetrieb Bei schlechtem Wetter: Ausweichtermin 24.06.
17059,Fischerstechen,Prutting,Tischtennis SV Prutting,17.06.2023,
17000,Liachtl-Nacht Weinfest,Feldkirchen-Westerham,D'Mangfalltaler Westerham,17.06.2023, 
16584,WEINFEST HÖSLWANG,Unterhöslwang,Burschenverein Höslwang,17.06.2023, 
17093,Sonnwendfeier,Finsing,Burschenverein Finsing,17.06.2023, Der Burschenverein lädt auch dieses Jahr wieder ab 19:00 Uhr zur Sonnwendfeier in Finsing am Sauriaß´l ein. Es gibt wieder ein großes Feuer. Für des leibliche Wohl ist mit Giggal und Steckerlfisch natürlich bestens gesorgt. Zur späteren Stunde öffnet auch unsere legendäre Urwoidbar in der unser DJ wieder richtig einheizt. Für Stimmung sorgen die LuFis!  Kommen darf jeder!! Beim Kauf von alkoholhaltigen Getränken wird das Alter überprüft. Ausweichtermin: 24. Juni 2023
17013,Heimatabend,Fischbachau,TV Fischbachau,17.06.2023, 
17100,Weinfest Aschau,Aschau im Chiemgau,Dirndl- & Burschenverein Ascha,16.06.2023, 
16583,STADLFEST HÖSLWANG,Unterhöslwang,Burschenverein Höslwang,16.06.2023, 
17008,Preisplattleln Leitzachtal,Fischbachau,TV Fischbachau,16.06.2023, 
17136,Big Treat / Stuerzer Riedering,Riedering Stuerzer,19 Uhr,16.06.2023, 
16938,Blaulicht-Schaumparty,Eggstätt,FFW Eggstätt,16.06.2023, mit Schaum-Area mit Shuttlebusservice – 4 Routen ab 20:00 Uhr
17017,Seefest am Rinsersee,Seeleiten/Vogtareuth,Trachtenverein Prutting,16.06.2023," Auf gehts zum traditionellen Seefest nach Seeleiten am Rinsersee. Hierzu lädt euch der Trachtenverein Prutting recht herzlich ein. Für das leibliche Wohl gibt es wieder Steckerlfisch, Grillspezialitäten und schmackhafte Brotzeiten. Und für den Durst gibts es da süffige Märzen sowie alkoholfrei Getränke vom Flötzinger . Zur Unterhaltung spielt die Innleiten Musi. Außerdem könnt ihr euch auf Auftritte unserer Kinder und Jugend, Aktiven sowie Goaßlschnalzer freuen. Das Seefest findet bei jeder Witterung statt."
17114,Bier- und Weinfest,Lauterbach,Trachtenverein Lauterbach,16.06.2023, 
17108,Weinfest,Stetten bei Ostermünchen,Plattlergruppe Ostermünchen,16.06.2023, 
17151,"Weinfest ""Sommernachtstraum""",Kirchdorf a. H.,Dirndlschaft Kirchdorf a. H.,15.06.2023, 
16889,Bieranstich FestwochenEggstätt,Eggstätt,GTEV d`Hartseer & FFW Eggstätt,15.06.2023, ab 19:00 Uhr mit Barbetrieb Festplatz am Hartsee – Eggstätt
17009,Spanferkelessen + Bieranstich,Fischbachau,TV Fischbachau,15.06.2023, 
17121,Festsonntag,Albertaich,Feuerwehr Albertaich,11.06.2023," 🔥Brandlöschmeister Rastumpf und die Feuerwehr Albertaich feiern ihr 150-jähriges Bestehen:🔥 🚨ab 08:00 Uhr Einzug der Vereine 🚨09:45 Uhr Kirchenzug 🚨10:00 Uhr Festgottesdienst 🚨12:00 Uhr Festzug durch Albertaich zum Festzelt 🚨Mittagessen, gemütliches Beisammensein und Festausklang mit der Obinger Blaskapelle und Barbetrieb"
17094,HIPHOP PARTY NIGHT,Eiskeller Aschau,,10.06.2023," HYPED – HIPHOP ONLY AT EISKELLER   OLDSCHOOL, NEWSCHOOL, R&B, TRAP & INTERNATIONAL Wir spielen an diesem Abend alles aus dem Urban-Bereich was Spaß macht. You'd better be there…  Sound by: KNOX GREC NICE  10.06.2023 22:00 Uhr  Reservierungen via Direct Message oder E-Mail: reservierung@eiskeller.club"
17120,Haager Straßenfest,Haag in Oberbayern,,10.06.2023," Am 10.06. findet endlich wieder das große Haager Straßenfest statt. Freut euch auf ein buntes Programm, kulinarische Schmankerl, nette Leute und einen tollen Tag!"
17110,Frühschoppenvorglühparty,Prien,,10.06.2023, Mit Bar-Stadl
16588,Bussi Bussi Party 💋💋,Wieden bei Schechen,Schechner Dirndl,10.06.2023," Are you ready to party? 🙌🏽🤩  Wir gehen in die neue Runde🥳🥳🎉  Schechner Dirndl are proud to present🥁🥁🥳  Bussi Bussi Party 💋💋… gsuacht und gfunden!  💋 Gin-Bar 💋Einlass ab 16 Jahren 💋Bänderspecial 💋Getränkespecial  Tanzen | Flirten | Feiern 🎉  Bestimm deinen Flirtfaktor selbst, entscheid di einfach am Eingang für a Bandl:  ❤ do gäd nix 💛 schmusen gäd scho 💚 obandln?  DJ S. M. und DJ George Melon heizen eich wieder richtig ein!🎧🔥💃🏽  Mia gfrein uns auf a legendäre Partynacht! 🎉🍻"
17124,Wein & Bierfest,Prien am Chiemsee,FFW Prien,10.06.2023, 
17111,Bier & Weinfest 🍇🍷🍻,Theaterstadl Derndorf,GTEV D'Sulzbergler Litzldorf,10.06.2023, 
17122,Bier und Weinfest,Oberneuching,Burschenverein Oberneuching,10.06.2023, Bier und Weinfest mit den Cagey Strings Anmeldungen zur Junggessellen Versteigerung via Instagram oder per Anmeldeformular.
17010,Born to be scharf,Fischbachau,,10.06.2023, 
17119,Löschwasserparty,Münsing,Feuerwehr Münsing,09.06.2023," Am 9. Juni wird die Nacht heiß in Münsing, wenn DJ S.M. an den Turntables den Festzeltboden zum Glühen bringt! 🕺💥🎉 An der 30 Meter Bar im Festzelt wird jeder fündig und als besonderes Special gibt es das von der Feuerwehr eigens gebraute Löschwasser – ein besonderes Highlight!🍸🤩 Seid rechtzeitig da, um die Happy Hour nicht zu verpassen! 🍻🥂 Highlights – DJ S.M. 🎵 – Happy Hour 🕺🏼 – 30 Meter Bar 🍹 – Löschwasser 🍸 – Bierbar 🍺 – Weißbierschwammerl 🍄 – Spezialitäten vom Grill 🍔 Die Freiwillige Feuerwehr Münsing gfreid sich auf Eich! 🚒🧑🏻‍🚒🍻"
16447,Weinfest,Söllhuben,KLJ Sölluben,09.06.2023, 
16931,Bier- und Weinfest,Brannenburg,,08.06.2023, 
17081,Gründungsfest BV-Oberneuching,Oberneuching,Burschenverein Oberneuching,07.06.2023, Tag 1: ab 19 Uhr Auftakt mit der Spider Murphy Gang und Aftershowparty mit DJ.Josch Ab 23.00 Uhr können auch alle ohne Tickets im Barzelt feiern ! P.S. Am nächsten tag ist Feiertag !
16581,3-2-1 Party Höhenmoos,Höhenmoos,Graffiti Club,07.06.2023, 
17123,Gspusi Party,Grasbrunn,Dirndlschaft Grasbrunn,07.06.2023, 
17102,Kesselfleischessen,Griesstätt,KLJB Griesstätt,05.06.2023, 
16655,Seilziang-30JahreAuerBurschen,Au bei Bad Aibling,Auer Burschene.V.,05.06.2023, 30 Jahre Auer Burschen  Burschenseilziang mit „SchodseitBlech“ Beginn: 19:00 Anmeldung unter info@auer-burschen.de Es gibt tolle Preise zu gewinnen!!!  Mia gfrein uns auf eich!
16654,Festsonntag-30JahreAuerBursche,Au bei Bad Aibling,Auer Burschen e.V.,04.06.2023, 30 Jahre Auer Burschen  Festsonntag mit Feldmesse und Umzug  06:00 Weckruf 08:00 Empfang der Vereine 09:15 Aufstellung zum Kirchenzug 10:00 Festgottesdienst 11:00 Festzug  Anschließend sorgt die Auer Musi und die Irschenberger Musi für gute Stimmung im Zelt. Ausklang an der Bar mit dem Anzwies Latenight Orchester  Mia gfrein uns auf eich!
17101,70 Jahre KLJB Griesstätt,Griesstätt,KLJB Griesstätt,04.06.2023, 
17083,Techno – im Keller krachts,Eiskeller Aschau,,03.06.2023," Im Keller krachts …. & zwar ordentlich   Mit unserer neuen Veranstaltungsreihe fusionieren wir die Welt der elektronischen Tanzmusik mit dem klassischen Clubsound auf zwei verschiedenen Räumen. In Raum 1 kommen alle Fans des klassischen Club – Sounds auf ihre Kosten, während … in Raum 2 dich der Techno-Bass lebendig fühlen lässt   Raum 1 by Luis Buchmann Clubsound Raum 2 by Matyc Techno 03.06.2023 22 Uhr  Reservierungen via direct message oder E-Mail: reservierung@eiskeller.club "
16653,Oldtimertreffen Au,Au bei Bad Aibling,Auer Burschen e.V.,03.06.2023, 30 Jahre Auer Burschen  Oldtimertreffen mit der Blaskapelle ProMill Beginn: 9:00  Mia gfrein uns auf eich!
id,eventname,location,organization,date,event_details
16660,Weinfest,Stephanskirchen,JB Stephanskirchen,03.06.2023, 
16976,Klosterfest,Niederaudorf,,03.06.2023, 
17034,Anzinger Weinfest,"Hirnerstr., 85646 Anzing",Burschenverein Anzing e.V.,03.06.2023," Anzinger Weinfest Einlass ab 19 Uhr  Kumm vorbei, wennst a Schneid host 😉"
16652,Weinfest-30JahreAuer Burschen,Au bei Bad Aibling,Auer Burschen e.V.,02.06.2023, 30 Jahre Auer Burschen  Weinfest mit der Tegernseer Tanzlmusi und Virginia Blos Beginn: 19:00  Mia gfrein uns auf eich! 
16309,Griesstätter Weinfest,Griesstätt,KLJB Griesstätt,02.06.2023, 
16561,Stefan Kröll mit Kapelle So&So,Au bei Bad Aibling,Auer Burschen e.V.,01.06.2023, 30 Jahre Auer Burschen e.V. 01.-05.06.23  Unsere Festwoche wird von Stefan Kröll mit seinem neuen Programm „Aufbruch“ eröffnet. Die Kapelle So&So begleitet ihn dabei musikalisch durch den Abend.  Infos zum Ticketvorverkauf unter: auer-burschen.de
16220,Kesselfleischessen,Festzelt Prutting,KLJB Prutting,29.05.2023, 
16677,Frühlingsfest Wasserburg,Wasserburg am Inn,SAS Veranstaltungen,29.05.2023, 
17058,Steckerfischessen,Albaching,Hüttn z Grem,29.05.2023, 🎣🍺 Montag 29.05 -> Steckerlfischessen  Vorbestellen bis 26.05 unter: +49 17681546906 +49 1737425789
16485,Deutsche Handmäh-Meisterschaft,Festzelt Frasdorf,FFW und TV Frasdorf,29.05.2023, 13 Uhr: Mähplatz Ginnerting 17 Uhr: Festzelt Frasdorf
16225,"Festsonntag, 75 Jahre",Festzelt Prutting,KLJB Prutting,28.05.2023, 
17016,Der Pfingstsonntag x Eiskeller,Eiskeller Aschau,,28.05.2023, Der letzte Feiertag vor der Sommerpause steht an & wir geben nochmal ordentlich Schub…  Vorfeiertagsextase in 100% Eiskeller Manier  DER PFINGSTSONNTAG IM EISKELLER  Sound by: it's George (Volksgarten Wien) Raoul Tosa (Eiskeller Resident)  28.05.2022 22:00 Uhr  next day is a holiday : )) Reservierungen via Direct Message oder E-Mail: reservierung@eiskeller.club  #PFINGSTSONNTAG #CHIEMGAUDISCO #EISKELLERCLUB
17057,Maibaumaufstellen,Albaching,Hüttn z Grem,28.05.2023, 🍻🎺 Sonntag 28.05 -> Maibaumaufstellen
16691,Pfingstparty,Bruck (EBE),Burschenverein Bruck,28.05.2023,
16486,Festsonntag FFW Frasdorf,Festzelt Frasdorf,FFW und TV Frasdorf,28.05.2023, 08:00 Uhr Empfang der Vereine 09:30 Uhr Kirchenzug 10:00 Uhr Festgottesdienst mit anschließendem Festzug
16676,Frühlingsfest Wasserburg,Wasserburg am Inn,SAS Veranstaltungen,28.05.2023, 
16693,Festsonntag,Au am Inn,FFW Au am Inn,28.05.2023, Festsonntag zum 150-jährigen Gründungsfest
16488,Bierfest,Festzelt Frasdorf,FFW und TV Frasdorf,27.05.2023, 
16995,Zeltdisco Trostberg,Volksfestplatz Trostberg,,27.05.2023, 
17082,Stodlfest Straßkirchen,83569 Vogtareuth / Straßkirch,Schützenverein Straßkirchen,27.05.2023, 
16493,VDP-VOIDAMPF PARTY,Dettendorf,,27.05.2023, 
17049,Bierfest Hirnsberg,Hirnsberg 83093 Bad Endorf,FFW Hirnsberg,27.05.2023, 
16675,Frühlingsfest Wasserburg,Wasserburg am Inn,SAS Veranstaltungen,27.05.2023, 
17043,Bier-& Weinfest,Aying,,27.05.2023," Servus liabe Leid, am 27.5.23 is soweit und wir veranstalten in Aying um 19uhr a Bier-&Weinfest. Über reichliches erscheinen dadn Ma uns riesig gfrein, des werd bestimmt a Gaudi.☺️  Bis zum 27.5 Eiere Ayinger Mädls"
16674,Frühlingsfest Wasserburg,Wasserburg am Inn,SAS Veranstaltungen,26.05.2023, 
16492,Weinfest,Dettendorf,DuBV Dettendorf,26.05.2023, 
16692,FIRENight,Au am Inn,FFW Au am Inn,26.05.2023," FIRENight am 26. Mai 2023 in Au am Inn! 🎉🥳 Die Zeltdisco an unserem 150-jährigen Gründungsfest unter dem Motto „80ger,90ger,2000“ und einer Rüscherl- und Goaßmaß HappyHour 🍻 Ein riesen riesen großer DANK geht an unsere liebe Irene @iriidiridi ❤️ Irene gestaltet uns alle Plakate für unser Gründungsfest 🫶🏻 Danke für deine Zeit und den Engagement  🧡"
17056,Wein & Bierfest,Albaching,Hüttn z Grem,26.05.2023, Zückt den Terminkalender Freunde 🍷🍺Freitag -> 26.05 Wein & Bierfest  Sonntag Maibaumaufstellen
16658,TATÜTATA PARTY,Festzelt Frasdorf,FFW und TV Frasdorf,26.05.2023, Beginn 20 Uhr
16219,Bier- & Weinfest,Festzelt Prutting,KLJB Prutting,26.05.2023, 
16224,Bieranstich,Festzelt Prutting,KLJB Prutting,25.05.2023, 
16673,Frühlingsfest Wasserburg,Wasserburg am Inn,SAS Veranstaltungen,25.05.2023, 
16845,Dorfhelferinnen Party,Burgerwirt Helfenbrunn,,25.05.2023, 
16672,Frühlingsfest Wasserburg,Wasserburg am Inn,SAS Veranstaltungen,24.05.2023, 
16671,Frühlingsfest Wasserburg,Wasserburg am Inn,SAS Veranstaltungen,23.05.2023, 
16290,Kesselfleisch-&Spanferkelessen,Festwiese Nussdorf am Inn,Musikkapelle Nußdorf am Inn,22.05.2023, 
16670,Frühlingsfest Wasserburg,Wasserburg am Inn,SAS Veranstaltungen,22.05.2023, 
16484,Kesselfleischessen,Festzelt Frasdorf,FFW und TV Frasdorf,22.05.2023," Tag der Nachbarschaft, Vereine und Betriebe, ab 18 Uhr"
16050,Festsonntag (150 Jahre FFW),Festplatz Söchtenau,Feuerwehr Söchtenau,21.05.2023, 
16289,57. Bezirksmusikfest MON,Festwiese Nussdorf am Inn,Musikkapelle Nußdorf am Inn,21.05.2023, 
16483,Festsonntag TV Frasdorf,Festzelt Frasdorf,FFW und TV Frasdorf,21.05.2023, 08:00 Uhr Empfang der Vereine 09:30 Uhr Kirchenzug 10:00 Uhr Festgottesdienst mit anschließendem Festzug
16669,Frühlingsfest Wasserburg,Wasserburg am Inn,SAS Veranstaltungen,21.05.2023, 
16375,Hangover Party,Festzelt Pastetten,,20.05.2023, 
16892,STADLPARTY IRNKAM,"Irnkam, 83083 Riedering",Klj Hirnsberg-Pietzing,20.05.2023, 
16668,Frühlingsfest Wasserburg,Wasserburg am Inn,SAS Veranstaltungen,20.05.2023, 
16965,I-Rock 23,Sportplatz Irschenberg,I-Rock,20.05.2023, 
17063,Classic Clubbing,Eiskeller Aschau,,20.05.2023," back to classic clubbing   Es ist Samstag Nacht & wir spielen das Neuste aus House, Disco, Hiphop & Classic-Sound…  100% DISCO 100% EISKELLER  no regrets….  20.05.2023 22 Uhr  Sound by: Martn Matyc all night long  Reservierungen via direct message oder E-Mail: reservierung@eiskeller.club #classicclubbing #eiskellerclub #chiemgaudisco"
17068,Weinfest,Finsing,Burschenverein Finsing,19.05.2023, Weinfest mit The Soundscape Aftershowparty mit DJ.Josch
16713,Weinfest FFW Harthausen,"Harthausen, Bad Aibling",Feuerwehr Harthausen,19.05.2023, 
16487,Weinfest,Festzelt Frasdorf,FFW und TV Frasdorf,19.05.2023, 
id,eventname,location,organization,date,event_details
16288,Bier- und Weinfest,Festwiese Nussdorf am Inn,Musikkapelle Nußdorf am Inn,19.05.2023, 
16667,Frühlingsfest Wasserburg,Wasserburg am Inn,SAS Veranstaltungen,19.05.2023, 
17037,Bier- und Weinfest,Söchtenau,Feuerwehr Söchtenau,19.05.2023, 
16641,Weinfest,Burschenverein Finsing,,19.05.2023, 
16967,Oimara mit Band,Festzelt Grasbrunn,Burschenverein Grasbrunn,19.05.2023, 
17042,150 jähriges Jubiläum,"Flurweg, 86836 Graben",Feuerwehr Graben,19.05.2023, Beginn 18:00 Uhr
17041,150jähriges Jubiläum,"Flurweg, 86836 Graben",Feuerwehr Graben,18.05.2023,
